MT;Status;Tag;Field_Name;Content_Options;KeyMTTag
102;O;53C;Sender's Correspondent;A or C;102#53C
102;O;54A;Receiver's Correspondent;[/1!a][/34x];102#54A
102;O;57A;Account With Institution;A or C;102#57A
102;O;57C;Account With Institution;A or C;102#57C
102;M;59;Beneficiary Customer;No letter option, A, or F;102#59
102;M;59A;Beneficiary Customer;No letter option, A, or F;102#59A
102;M;59F;Beneficiary Customer;No letter option, A, or F;102#59F
102;O;70;Remittance Information;4*35x;102#70
102;O;71A;Details of Charges;3!a;102#71A
102;O;71F;Sender's Charges;3!a15d;102#71F
102;O;71G;Receiver's Charges;3!a15d;102#71G
102;O;72;Sender to Receiver Information;6*35x;102#72
102;O;77B;Regulatory Reporting;3*35x;102#77B
103;O;13C;Time Indication;/8c/4!n1!x4!n;103#13C
103;M;20;Sender's Reference;16x;103#20
103;M;23B;Bank Operation Code;4!c;103#23B
103;O;23E;Instruction Code;4!c[/30x];103#23E
103;O;26T;Transaction Type Code;3!c;103#26T
103;M;32A;Value Date/Currency/Interbank Settled Amount;6!n3!a15d;103#32A
103;O;33B;Currency/Instructed Amount;3!a15d;103#33B
103;O;36;Exchange Rate;12d;103#36
103;M;50A;Ordering Customer;A, F, or K;103#50A
103;M;50F;Ordering Customer;A, F, or K;103#50F
103;M;50K;Ordering Customer;A, F, or K;103#50K
103;O;51A;Sending Institution;[/1!a][/34x];103#51A
103;O;52A;Ordering Institution;A or D;103#52A
103;O;52D;Ordering Institution;A or D;103#52D
103;O;53A;Sender's Correspondent;A, B, or D;103#53A
103;O;53B;Sender's Correspondent;A, B, or D;103#53B
103;O;53D;Sender's Correspondent;A, B, or D;103#53D
103;O;54A;Receiver's Correspondent;A, B, or D;103#54A
103;O;54B;Receiver's Correspondent;A, B, or D;103#54B
103;O;54D;Receiver's Correspondent;A, B, or D;103#54D
103;O;55A;Third Reimbursement Institution;A, B, or D;103#55A
103;O;55B;Third Reimbursement Institution;A, B, or D;103#55B
103;O;55D;Third Reimbursement Institution;A, B, or D;103#55D
103;O;56A;Intermediary Institution;A, C, or D;103#56A
103;O;56C;Intermediary Institution;A, C, or D;103#56C
103;O;56D;Intermediary Institution;A, C, or D;103#56D
103;O;57A;Account With Institution;A, B, C, or D;103#57A
103;O;57B;Account With Institution;A, B, C, or D;103#57B
103;O;57C;Account With Institution;A, B, C, or D;103#57C
103;O;57D;Account With Institution;A, B, C, or D;103#57D
103;M;59;Beneficiary Customer;No letter option, A, or F;103#59
103;M;59A;Beneficiary Customer;No letter option, A, or F;103#59A
103;M;59F;Beneficiary Customer;No letter option, A, or F;103#59F
103;O;70;Remittance Information;4*35x;103#70
103;M;71A;Details of Charges;3!a;103#71A
103;O;71F;Sender's Charges;3!a15d;103#71F
103;O;71G;Receiver's Charges;3!a15d;103#71G
103;O;72;Sender to Receiver Information;6*35x;103#72
103;O;77B;Regulatory Reporting;3*35x;103#77B
104;O;19;Sum of Amounts;17d;104#19
104;M;20;Sender's Reference;16x;104#20
104;M;21;Transaction Reference;16x;104#21
104;O;21C;Mandate Reference;35x;104#21C
104;O;21D;Direct Debit Reference;35x;104#21D
104;O;21E;Registration Reference;35x;104#21E
104;O;21R;Customer Specified Reference;16x;104#21R
104;O;23E;Instruction Code;4!c[/30x];104#23E
104;O;26T;Transaction Type Code;3!c;104#26T
104;M;30;Requested Execution Date;6!n;104#30
104;M;32B;Currency and Transaction Amount;3!a15d;104#32B
104;O;33B;Currency/Original Ordered Amount;3!a15d;104#33B
104;O;36;Exchange Rate;12d;104#36
104;O;50A;Instructing Party;C or L;104#50A
104;O;50C;Instructing Party;C or L;104#50C
104;O;50L;Instructing Party;C or L;104#50L
104;O;51A;Sending Institution;[/1!a][/34x]<crlf>4!a2!a2!c[3!c];104#51A
104;O;52A;Creditor's Bank;A, C, or D;104#52A
104;O;52C;Creditor's Bank;A, C, or D;104#52C
104;O;52D;Creditor's Bank;A, C, or D;104#52D
104;O;53A;Sender's Correspondent;A or B;104#53A
104;O;53B;Sender's Correspondent;A or B;104#53B
104;O;57A;Debtor's Bank;A, C, or D;104#57A
104;O;57C;Debtor's Bank;A, C, or D;104#57C
104;O;57D;Debtor's Bank;A, C, or D;104#57D
104;M;59;Debtor;No letter option or A;104#59
104;M;59A;Debtor;No letter option or A;104#59A
104;O;70;Remittance Information;4*35x;104#70
104;O;71A;Details of Charges;3!a;104#71A
104;O;71F;Sender's Charges;3!a15d;104#71F
104;O;71G;Receiver's Charges;3!a15d;104#71G
104;O;72;Sender to Receiver Information;6*35x;104#72
104;O;77B;Regulatory Reporting;3*35x;104#77B
105;M;12;Sub-Message Type;3!n;105#12
105;M;20;Transaction Reference Number;16x;105#20
105;M;21;Related Reference;16x;105#21
105;M;27;Sequence of Total;1!n/1!n;105#27
105;M;77F;EDIFACT Message;1800y;105#77F
107;O;19;Sum of Amounts;17d;107#19
107;M;20;Sender's Reference;16x;107#20
107;M;21;Transaction Reference;16x;107#21
107;O;21C;Mandate Reference;35x;107#21C
107;O;21D;Direct Debit Reference;35x;107#21D
107;O;21E;Registration Reference;35x;107#21E
107;O;23E;Instruction Code;4!c[/30x];107#23E
107;O;26T;Transaction Type Code;3!c;107#26T
107;M;30;Requested Execution Date;6!n;107#30
107;M;32B;Currency and Transaction Amount;3!a15d;107#32B
107;O;33B;Currency/Original Ordered Amount;3!a15d;107#33B
107;O;36;Exchange Rate;12d;107#36
107;O;50A;Instructing Party;C or L;107#50A
107;O;50C;Instructing Party;C or L;107#50C
107;O;50L;Instructing Party;C or L;107#50L
107;O;51A;Sending Institution;[/1!a][/34x]<crlf>4!a2!a2!c[3!c];107#51A
107;O;52A;Creditor's Bank;A, C, or D;107#52A
107;O;52C;Creditor's Bank;A, C, or D;107#52C
107;O;52D;Creditor's Bank;A, C, or D;107#52D
107;O;53A;Sender's Correspondent;A or B;107#53A
107;O;53B;Sender's Correspondent;A or B;107#53B
107;O;57A;Debtor's Bank;A, C, or D;107#57A
107;O;57C;Debtor's Bank;A, C, or D;107#57C
107;O;57D;Debtor's Bank;A, C, or D;107#57D
107;M;59;Debtor;No letter option or A;107#59
107;M;59A;Debtor;No letter option or A;107#59A
107;O;70;Remittance Information;4*35x;107#70
107;O;71A;Details of Charges;3!a;107#71A
107;O;71F;Sender's Charges;3!a15d;107#71F
107;O;71G;Receiver's Charges;3!a15d;107#71G
107;O;72;Sender to Receiver Information;6*35x;107#72
107;O;77B;Regulatory Reporting;3*35x;107#77B
110;M;20;Sender's Reference;16x;110#20
110;M;21;Cheque Number;16x;110#21
110;M;30;Date of Issue;6!n;110#30
110;M;32A;Amount;A or B;110#32A
110;M;32B;Amount;A or B;110#32B
110;O;50A;Payer;A, F, or K;110#50A
110;O;50F;Payer;A, F, or K;110#50F
110;O;50K;Payer;A, F, or K;110#50K
110;O;52A;Drawer Bank;A, B, or D;110#52A
110;O;52B;Drawer Bank;A, B, or D;110#52B
110;O;52D;Drawer Bank;A, B, or D;110#52D
110;O;53A;Sender's Correspondent;A, B, or D;110#53A
110;O;53B;Sender's Correspondent;A, B, or D;110#53B
110;O;53D;Sender's Correspondent;A, B, or D;110#53D
110;O;54A;Receiver's Correspondent;A, B, or D;110#54A
110;O;54B;Receiver's Correspondent;A, B, or D;110#54B
110;O;54D;Receiver's Correspondent;A, B, or D;110#54D
110;M;59;Payee;No letter option or F;110#59
110;M;59A;Payee;No letter option or F;110#59A
110;M;59F;Payee;No letter option or F;110#59F
110;O;72;Sender to Receiver Information;6*35x;110#72
111;M;20;Sender's Reference;16x;111#20
111;M;21;Cheque Number;16x;111#21
111;M;30;Date of Issue;6!n;111#30
111;M;32A;Amount;A or B;111#32A
111;M;32B;Amount;A or B;111#32B
111;O;52A;Drawer Bank;A, B, or D;111#52A
111;O;52B;Drawer Bank;A, B, or D;111#52B
111;O;52D;Drawer Bank;A, B, or D;111#52D
111;O;59;Payee;[/34x]<crlf>4*35x;111#59
111;O;75;Queries;6*35x;111#75
112;M;20;Transaction Reference Number;16x;112#20
112;M;21;Cheque Number;16x;112#21
112;M;30;Date of Issue;6!n;112#30
112;M;32A;Amount;A or B;112#32A
112;M;32B;Amount;A or B;112#32B
112;O;52A;Drawer Bank;A, B, or D;112#52A
112;O;52B;Drawer Bank;A, B, or D;112#52B
112;O;52D;Drawer Bank;A, B, or D;112#52D
112;O;59;Payee;[/34x]<crlf>4*35x;112#59
112;M;76;Answers;6*35x;112#76
190;M;20;Transaction Reference Number;16x;190#20
190;M;21;Related Reference;16x;190#21
190;M;25;Account Identification;35x;190#25
190;M;32A;Value Date, Currency Code, Amount;C or D;190#32A
190;M;32C;Value Date, Currency Code, Amount;C or D;190#32C
190;M;32D;Value Date, Currency Code, Amount;C or D;190#32D
190;O;52A;Ordering Institution;A or D;190#52A
190;O;52D;Ordering Institution;A or D;190#52D
190;M;71B;Details of Charges;6*35x;190#71B
190;O;72;Sender to Receiver Information;6*35x;190#72
191;M;20;Transaction Reference Number;16x;191#20
191;M;21;Related Reference;16x;191#21
191;M;32B;Currency Code, Amount;3!a15d;191#32B
191;O;52A;Ordering Institution;A or D;191#52A
191;O;52D;Ordering Institution;A or D;191#52D
191;O;57A;Account With Institution;A, B, or D;191#57A
191;O;57B;Account With Institution;A, B, or D;191#57B
191;O;57D;Account With Institution;A, B, or D;191#57D
191;M;71B;Details of Charges;6*35x;191#71B
191;O;72;Sender to Receiver Information;6*35x;191#72
192;M;11S;MT and Date of the Original Message;3!n<crlf>6!n<crlf>[4!n6!n];192#11S
192;M;20;Transaction Reference Number;16x;192#20
192;M;21;Related Reference;16x;192#21
192;M;59;Beneficiary Customer;A, F, or K;192#59
192;O;79;Narrative Description of the Original Message;35*50x;192#79
195;O;11A;MT and Date of the Original Message;R or S;195#11A
195;O;11R;MT and Date of the Original Message;R or S;195#11R
195;O;11S;MT and Date of the Original Message;R or S;195#11S
195;M;20;Transaction Reference Number;16x;195#20
195;M;21;Related Reference;16x;195#21
195;M;50F;Ordering Customer;A, F, or K;195#50F
195;M;50K;Ordering Customer;A, F, or K;195#50K
195;O;70;Single Customer Credit Transfer;4*35x;195#70
195;M;75;Queries;6*35x;195#75
195;O;77A;Narrative;20*35x;195#77A
195;O;79;Narrative Description of the Message to Which the Query Relates;35*50x;195#79
196;O;11A;MT and Date of the Original Message;R or S;196#11A
196;O;11R;MT and Date of the Original Message;R or S;196#11R
196;O;11S;MT and Date of the Original Message;R or S;196#11S
196;M;20;Transaction Reference Number;16x;196#20
196;M;21;Related Reference;16x;196#21
196;M;76;Answers;6*35x;196#76
196;O;77A;Narrative;20*35x;196#77A
196;O;79;Narrative Description of the Original Message to Which the Answer Relates;35*50x;196#79
198;M;12;Sub-Message Type;3!n;198#12
198;M;20;Transaction Reference Number;16x;198#20
198;M;77E;Proprietary Message;73z<crlf>[n*78z];198#77E
199;M;20;Transaction Reference Number;16x;199#20
199;O;21;Related Reference;16x;199#21
199;M;79;Narrative;35*50x;199#79
200;M;20;Transaction Reference Number;16x;200#20
200;M;32A;Value Date, Currency Code, Amount;6!n3!a15d;200#32A
200;O;53B;Sender's Correspondent;[/1!a][/34x]<crlf>[35x];200#53B
200;O;56A;Intermediary;A or D;200#56A
200;O;56D;Intermediary;A or D;200#56D
200;M;57A;Account With Institution;A, B, or D;200#57A
200;M;57B;Account With Institution;A, B, or D;200#57B
200;M;57D;Account With Institution;A, B, or D;200#57D
200;O;72;Sender to Receiver Information;6*35x;200#72
201;M;19;Sum of Amounts;17d;201#19
201;M;20;Transaction Reference Number;16x;201#20
201;M;30;Value Date;6!n;201#30
201;M;32B;Currency Code, Amount;3!a15d;201#32B
201;O;53B;Sender's Correspondent;[/1!a][/34x]<crlf>[35x];201#53B
201;O;56A;Intermediary;A or D;201#56A
201;O;56D;Intermediary;A or D;201#56D
201;M;57A;Account With Institution;A, B, or D;201#57A
201;M;57B;Account With Institution;A, B, or D;201#57B
201;M;57D;Account With Institution;A, B, or D;201#57D
201;O;72;Sender to Receiver Information;6*35x;201#72
202;O;13C;Time Indication;/8c/4!n1!x4!n;202#13C
202;M;20;Transaction Reference Number;16x;202#20
202;M;21;Related Reference;16x;202#21
202;M;32A;Value Date, Currency Code, Amount;6!n3!a15d;202#32A
202;M;50F;Ordering Customer;A, F, or K;202#50F
202;M;50K;Ordering Customer;A, F, or K;202#50K
202;O;52A;Ordering Institution;A or D;202#52A
202;O;52D;Ordering Institution;A or D;202#52D
202;O;53A;Sender's Correspondent;A, B, or D;202#53A
202;O;53B;Sender's Correspondent;A, B, or D;202#53B
202;O;53D;Sender's Correspondent;A, B, or D;202#53D
202;O;54A;Receiver's Correspondent;A, B, or D;202#54A
202;O;54B;Receiver's Correspondent;A, B, or D;202#54B
202;O;54D;Receiver's Correspondent;A, B, or D;202#54D
202;O;56A;Intermediary;A or D;202#56A
202;O;56D;Intermediary;A or D;202#56D
202;O;57A;Account With Institution;A, B, or D;202#57A
202;O;57B;Account With Institution;A, B, or D;202#57B
202;O;57D;Account With Institution;A, B, or D;202#57D
202;M;58A;Beneficiary Institution;A or D;202#58A
202;M;58D;Beneficiary Institution;A or D;202#58D
202;M;59;Beneficiary Customer;A, F, or K;202#59
202;M;59F;Single Customer Credit Transfer;No letter option, A, or F;202#59F
202;O;70;Single Customer Credit Transfer;4*35x;202#70
202;O;72;Sender to Receiver Information;6*35x;202#72
202 COV;O;13C;Time Indication;/8c/4!n1!x4!n;202 COV#13C
202 COV;M;20;Transaction Reference Number;16x;202 COV#20
202 COV;M;21;Related Reference;16x;202 COV#21
202 COV;M;32A;Value Date, Currency Code, Amount;6!n3!a15d;202 COV#32A
202 COV;O;33B;Currency/Instructed Amount;3!a15d;202 COV#33B
202 COV;M;50A;Ordering Customer;A, F, or K;202 COV#50A
202 COV;M;50F;Ordering Customer;A, F, or K;202 COV#50F
202 COV;M;50K;Ordering Customer;A, F, or K;202 COV#50K
202 COV;O;52A;Ordering Institution;A or D;202 COV#52A
202 COV;O;52D;Ordering Institution;A or D;202 COV#52D
202 COV;O;53A;Sender's Correspondent;A, B, or D;202 COV#53A
202 COV;O;53B;Sender's Correspondent;A, B, or D;202 COV#53B
202 COV;O;53D;Sender's Correspondent;A, B, or D;202 COV#53D
202 COV;O;54A;Receiver's Correspondent;A, B, or D;202 COV#54A
202 COV;O;54B;Receiver's Correspondent;A, B, or D;202 COV#54B
202 COV;O;54D;Receiver's Correspondent;A, B, or D;202 COV#54D
202 COV;O;56A;Intermediary;A or D;202 COV#56A
202 COV;O;56D;Intermediary;A or D;202 COV#56D
202 COV;O;57A;Account With Institution;A, B, or D;202 COV#57A
202 COV;O;57B;Account With Institution;A, B, or D;202 COV#57B
202 COV;O;57D;Account With Institution;A, B, or D;202 COV#57D
202 COV;M;58A;Beneficiary Institution;A or D;202 COV#58A
202 COV;M;58D;Beneficiary Institution;A or D;202 COV#58D
202 COV;M;59;Beneficiary Customer;No letter option, A, or F;202 COV#59
202 COV;M;59A;Beneficiary Customer;No letter option, A, or F;202 COV#59A
202 COV;M;59F;Beneficiary Customer;No letter option, A, or F;202 COV#59F
202 COV;O;70;Remittance Information;4*35x;202 COV#70
202 COV;O;72;Sender to Receiver Information;6*35x;202 COV#72
203;M;19;Sum of Amounts;17d;203#19
203;M;20;Transaction Reference Number;16x;203#20
203;M;21;Related Reference;16x;203#21
203;M;30;Value Date;6!n;203#30
203;M;32B;Currency Code, Amount;3!a15d;203#32B
203;O;52A;Ordering Institution;A or D;203#52A
203;O;52D;Ordering Institution;A or D;203#52D
203;O;53A;Sender's Correspondent;A, B, or D;203#53A
203;O;53B;Sender's Correspondent;A, B, or D;203#53B
203;O;53D;Sender's Correspondent;A, B, or D;203#53D
203;O;54A;Receiver's Correspondent;A, B, or D;203#54A
203;O;54B;Receiver's Correspondent;A, B, or D;203#54B
203;O;54D;Receiver's Correspondent;A, B, or D;203#54D
203;O;56A;Intermediary;A or D;203#56A
203;O;56D;Intermediary;A or D;203#56D
203;O;57A;Account With Institution;A, B, or D;203#57A
203;O;57B;Account With Institution;A, B, or D;203#57B
203;O;57D;Account With Institution;A, B, or D;203#57D
203;M;58A;Beneficiary Institution;A or D;203#58A
203;M;58D;Beneficiary Institution;A or D;203#58D
203;O;72;Sender to Receiver Information;6*35x;203#72
204;M;19;Sum of Amounts;17d;204#19
204;M;20;Transaction Reference Number;16x;204#20
204;O;21;Related Reference;16x;204#21
204;M;30;Value Date;6!n;204#30
204;M;32B;Transaction Amount;3!a15d;204#32B
204;M;53A;Debit Institution;A, B, or D;204#53A
204;M;53B;Debit Institution;A, B, or D;204#53B
204;M;53D;Debit Institution;A, B, or D;204#53D
204;O;57A;Account With Institution;A, B, or D;204#57A
204;O;57B;Account With Institution;A, B, or D;204#57B
204;O;57D;Account With Institution;A, B, or D;204#57D
204;O;58A;Beneficiary Institution;A or D;204#58A
204;O;58D;Beneficiary Institution;A or D;204#58D
204;O;72;Sender to Receiver Information;6*35x;204#72
205;O;13C;Time Indication;/8c/4!n1!x4!n;205#13C
205;M;20;Transaction Reference Number;16x;205#20
205;M;21;Related Reference;16x;205#21
205;M;32A;Value Date, Currency Code, Amount;6!n3!a15d;205#32A
205;M;52A;Ordering Institution;A or D;205#52A
205;M;52D;Ordering Institution;A or D;205#52D
205;O;53A;Sender's Correspondent;A, B, or D;205#53A
205;O;53B;Sender's Correspondent;A, B, or D;205#53B
205;O;53D;Sender's Correspondent;A, B, or D;205#53D
205;O;56A;Intermediary;A or D;205#56A
205;O;56D;Intermediary;A or D;205#56D
205;O;57A;Account With Institution;A, B, or D;205#57A
205;O;57B;Account With Institution;A, B, or D;205#57B
205;O;57D;Account With Institution;A, B, or D;205#57D
205;M;58A;Beneficiary Institution;A or D;205#58A
205;M;58D;Beneficiary Institution;A or D;205#58D
205;O;72;Sender to Receiver Information;6*35x;205#72
205 COV;O;13C;Time Indication;/8c/4!n1!x4!n;205 COV#13C
205 COV;M;20;Transaction Reference Number;16x;205 COV#20
205 COV;M;21;Related Reference;16x;205 COV#21
205 COV;M;32A;Value Date, Currency Code, Amount;6!n3!a15d;205 COV#32A
205 COV;O;33B;Currency/Instructed Amount;3!a15d;205 COV#33B
205 COV;M;50A;Ordering Customer;A, F, or K;205 COV#50A
205 COV;M;50F;Ordering Customer;A, F, or K;205 COV#50F
205 COV;M;50K;Ordering Customer;A, F, or K;205 COV#50K
205 COV;M;52A;Ordering Institution;A or D;205 COV#52A
205 COV;M;52D;Ordering Institution;A or D;205 COV#52D
205 COV;O;53A;Sender's Correspondent;A, B, or D;205 COV#53A
205 COV;O;53B;Sender's Correspondent;A, B, or D;205 COV#53B
205 COV;O;53D;Sender's Correspondent;A, B, or D;205 COV#53D
205 COV;O;56A;Intermediary;A or D;205 COV#56A
205 COV;O;56D;Intermediary;A or D;205 COV#56D
205 COV;O;57A;Account With Institution;A, B, or D;205 COV#57A
205 COV;O;57B;Account With Institution;A, B, or D;205 COV#57B
205 COV;O;57D;Account With Institution;A, B, or D;205 COV#57D
205 COV;M;58A;Beneficiary Institution;A or D;205 COV#58A
205 COV;M;58D;Beneficiary Institution;A or D;205 COV#58D
205 COV;M;59;Beneficiary Customer;No letter option, A, or F;205 COV#59
205 COV;M;59A;Beneficiary Customer;No letter option, A, or F;205 COV#59A
205 COV;M;59F;Beneficiary Customer;No letter option, A, or F;205 COV#59F
205 COV;O;70;Remittance Information;4*35x;205 COV#70
205 COV;O;72;Sender to Receiver Information;6*35x;205 COV#72
210;M;20;Transaction Reference Number;16x;210#20
210;M;21;Related Reference;16x;210#21
210;O;25;Account Identification;35x;210#25
210;M;30;Value Date;6!n;210#30
210;M;32B;Currency Code, Amount;3!a15d;210#32B
210;O;50;Ordering Customer;No letter option, C, or F;210#50
210;O;50A;Ordering Customer;No letter option, C, or F;210#50A
210;O;50C;Ordering Customer;No letter option, C, or F;210#50C
210;O;50F;Ordering Customer;No letter option, C, or F;210#50F
210;O;52A;Ordering Institution;A or D;210#52A
210;O;52D;Ordering Institution;A or D;210#52D
210;O;56A;Intermediary;A or D;210#56A
210;O;56D;Intermediary;A or D;210#56D
290;M;20;Transaction Reference Number;16x;290#20
290;M;21;Related Reference;16x;290#21
290;M;25;Account Identification;35x;290#25
290;M;32A;Value Date, Currency Code, Amount;C or D;290#32A
290;M;32C;Value Date, Currency Code, Amount;C or D;290#32C
290;M;32D;Value Date, Currency Code, Amount;C or D;290#32D
290;O;52A;Ordering Institution;A or D;290#52A
290;O;52D;Ordering Institution;A or D;290#52D
290;M;71B;Details of Charges;6*35x;290#71B
290;O;72;Sender to Receiver Information;6*35x;290#72
291;M;20;Transaction Reference Number;16x;291#20
291;M;21;Related Reference;16x;291#21
291;M;32B;Currency Code, Amount;3!a15d;291#32B
291;O;52A;Ordering Institution;A or D;291#52A
291;O;52D;Ordering Institution;A or D;291#52D
291;O;57A;Account With Institution;A, B, or D;291#57A
291;O;57B;Account With Institution;A, B, or D;291#57B
291;O;57D;Account With Institution;A, B, or D;291#57D
291;M;71B;Details of Charges;6*35x;291#71B
291;O;72;Sender to Receiver Information;6*35x;291#72
292;M;11S;MT and Date of the Original Message;3!n<crlf>6!n<crlf>[4!n6!n];292#11S
292;M;20;Transaction Reference Number;16x;292#20
292;M;21;Related Reference;16x;292#21
292;O;79;Narrative Description of the Original Message;35*50x;292#79
295;O;11A;MT and Date of the Original Message;R or S;295#11A
295;O;11R;MT and Date of the Original Message;R or S;295#11R
295;O;11S;MT and Date of the Original Message;R or S;295#11S
295;M;20;Transaction Reference Number;16x;295#20
295;M;21;Related Reference;16x;295#21
295;M;75;Queries;6*35x;295#75
295;O;77A;Narrative;20*35x;295#77A
295;O;79;Narrative Description of the Message to Which the Query Relates;35*50x;295#79
296;O;11A;MT and Date of the Original Message;R or S;296#11A
296;O;11R;MT and Date of the Original Message;R or S;296#11R
296;O;11S;MT and Date of the Original Message;R or S;296#11S
296;M;20;Transaction Reference Number;16x;296#20
296;M;21;Related Reference;16x;296#21
296;M;76;Answers;6*35x;296#76
296;O;77A;Narrative;20*35x;296#77A
296;O;79;Narrative Description of the Original Message to Which the Answer Relates;35*50x;296#79
298;M;12;Sub-Message Type;3!n;298#12
298;M;20;Transaction Reference Number;16x;298#20
298;M;77E;Proprietary Message;73z<crlf>[n*78z];298#77E
299;M;20;Transaction Reference Number;16x;299#20
299;O;21;Related Reference;16x;299#21
299;M;79;Narrative;35*50x;299#79
300;O;14C;Year of Definitions;4!n;300#14C
300;O;14E;Clearing or Settlement Session;35x;300#14E
300;O;14S;Settlement Rate Source;3!a2n[/4!n/4!c];300#14S
300;M;15A;New Sequence;Empty field;300#15A
300;M;15B;New Sequence;Empty field;300#15B
300;M;15C;New Sequence;Empty field;300#15C
300;M;15D;New Sequence;Empty field;300#15D
300;M;15E;New Sequence;Empty field;300#15E
300;M;15F;New Sequence;Empty field;300#15F
300;M;16A;Number of Settlements;5n;300#16A
300;M;17A;Buy (Sell) Indicator;1!a;300#17A
300;O;17E;Clearing Threshold Indicator;1!a;300#17E
300;O;17F;Non-Deliverable Indicator;1!a;300#17F
300;O;17H;Allocation Indicator;1!a;300#17H
300;O;17I;Payment versus Payment Settlement Indicator;1!a;300#17I
300;O;17L;Portfolio Compression Indicator;1!a;300#17L
300;O;17M;Corporate Sector Indicator;1!a;300#17M
300;O;17O;NDF Open Indicator;1!a;300#17O
300;O;17P;Collateralisation Indicator;1!a;300#17P
300;O;17Q;Trade with Non-EEA Counterparty Indicator;1!a;300#17Q
300;O;17S;Intragroup Trade Indicator;1!a;300#17S
300;O;17T;Block Trade Indicator;1!a;300#17T
300;O;17U;Split Settlement Indicator;1!a;300#17U
300;O;17W;Non Standard Flag;1!a;300#17W
300;O;17X;Commercial or Treasury Financing Indicator;1!a;300#17X
300;O;17Y;Financial Nature of the Counterparty Indicator;1!a;300#17Y
300;O;17Z;Collateral Portfolio Indicator;1!a;300#17Z
300;M;20;Sender's Reference;16x;300#20
300;O;21;Related Reference;16x;300#21
300;O;21A;Reference to Opening Confirmation;16x;300#21A
300;O;21F;Underlying Liability Reference;16x;300#21F
300;O;21G;Broker's Reference;16x;300#21G
300;M;21H;Event Type and Reference;4!c/16x;300#21H
300;M;22A;Type of Operation;4!c;300#22A
300;M;22C;Common Reference;4!a2!c4!n4!a2!c;300#22C
300;M;22L;Reporting Jurisdiction;35x;300#22L
300;M;22M;UTI Namespace/Issuer Code;30x;300#22M
300;M;22N;Transaction Identifier;32x;300#22N
300;M;22P;PUTI Namespace/Issuer Code;30x;300#22P
300;O;22Q;Collateral Portfolio Code;10x;300#22Q
300;M;22R;Prior Transaction Identifier;32x;300#22R
300;O;22S;Clearing Broker Identification;1!a/35x;300#22S
300;O;22T;Cleared Product Identification;35x;300#22T
300;O;22U;Underlying Product Identifier;6a;300#22U
300;O;22V;Execution Venue;35x;300#22V
300;O;22W;Link Swap Identification;42x;300#22W
300;O;24D;Dealing Method;4!c[/35x];300#24D
300;O;26H;Counterparty's Reference;16x;300#26H
300;O;29A;Contact Information;4*35x;300#29A
300;O;30F;Profit and Loss Settlement Date;8!n;300#30F
300;M;30T;Trade Date;8!n;300#30T
300;O;30U;Valuation Date;8!n;300#30U
300;M;30V;Value Date;8!n;300#30V
300;M;32B;Currency, Amount;3!a15d;300#32B
